COL	102	25	50
ATH	141	6	47
TB	105	3	36
KC	93	10	35
AZ	94	9	34
LAA	75	3	33
STL	73	7	33
CHC	116	-4	33
PHI	115	-5	31
MIN	96	1	31
TEX	81	2	31
SEA	99	-2	30
DET	93	-11	30
CIN	121	2	30
MIA	72	3	28
WSH	127	5	28
BAL	106	0	28
SF	69	7	28
NYY	109	-7	27
PIT	104	3	27
ATL	76	2	27
BOS	71	1	26
TOR	109	-1	26
MIL	89	4	26
SD	87	-3	25
NYM	94	-7	21
CWS	97	-10	20
CLE	72	-8	19
LAD	100	-1	17
HOU	124	-21	16
