real-madrid-v-real-sociedad|Kylian Mbappe|XI|Real Madrid
real-madrid-v-real-sociedad|Carlos Espi|BENCH|Real Madrid
real-madrid-v-real-sociedad|Jose Vinicius Junior|XI|Real Madrid
real-madrid-v-real-sociedad|Endrick|ABSENT|
real-madrid-v-real-sociedad|de Goes Rodrygo|ABSENT|
real-madrid-v-real-sociedad|Yan Diomande|BENCH|Real Madrid
real-madrid-v-real-sociedad|Alexis Ciria|BENCH|Real Madrid
real-madrid-v-real-sociedad|Jude Bellingham|XI|Real Madrid
real-madrid-v-real-sociedad|Thiago Pitarch|ABSENT|
real-madrid-v-real-sociedad|Manuel Angel|ABSENT|
real-madrid-v-real-sociedad|Brahim Diaz|BENCH|Real Madrid
real-madrid-v-real-sociedad|Arda Guler|XI|Real Madrid
real-madrid-v-real-sociedad|Mikel Oyarzabal|XI|Real Sociedad
real-madrid-v-real-sociedad|Orri Steinn Oskarsson|BENCH|Real Sociedad
real-madrid-v-real-sociedad|Jon Karrikaburu|ABSENT|
aek-athens-v-levski-sofia|Luka Jovic|XI|AEK Athens
aek-athens-v-levski-sofia|Ambrosini Zini|BENCH|AEK Athens
aek-athens-v-levski-sofia|Barnabas Varga|XI|AEK Athens
aek-athens-v-levski-sofia|Oleksandr Zubkov|BENCH|AEK Athens
aek-athens-v-levski-sofia|Dimitrios Kaloskamis|BENCH|AEK Athens
aek-athens-v-levski-sofia|Derek Kutesa|ABSENT|
aek-athens-v-levski-sofia|Aboubakary Koita|XI|AEK Athens
aek-athens-v-levski-sofia|Lovro Majer|XI|AEK Athens
aek-athens-v-levski-sofia|Petros Mantalos|BENCH|AEK Athens
aek-athens-v-levski-sofia|Mijat Gacinovic|BENCH|AEK Athens
aek-athens-v-levski-sofia|Mustapha Sangare|ABSENT|
aek-athens-v-levski-sofia|de Castro Everton Bala|XI|Levski Sofia
aek-athens-v-levski-sofia|Juan Perea|BENCH|Levski Sofia
aek-athens-v-levski-sofia|Radoslav Kirilov|ABSENT|
aek-athens-v-levski-sofia|Stivan Stoyanchov|BENCH|Levski Sofia
lyon-v-fenerbahce|Alejandro Gomes|ABSENT|
lyon-v-fenerbahce|Lois Openda|XI|Lyon
lyon-v-fenerbahce|Cagri Fedai|ABSENT|
lyon-v-fenerbahce|Remi Himbert|BENCH|Lyon
lyon-v-fenerbahce|Romelu Lukaku|BENCH|Fenerbahce
lyon-v-fenerbahce|Conceicao Talisca|XI|Fenerbahce
lyon-v-fenerbahce|Mason Greenwood|XI|Fenerbahce
lyon-v-fenerbahce|Kail Boudache|BENCH|Lyon
lyon-v-fenerbahce|Pavel Sulc|BENCH|Lyon
lyon-v-fenerbahce|Vedat Muriqi|XI|Fenerbahce
lyon-v-fenerbahce|Corentin Tolisso|XI|Lyon
lyon-v-fenerbahce|Malick Fofana|XI|Lyon
lyon-v-fenerbahce|Kerem Akturkoglu|ABSENT|
lyon-v-fenerbahce|Ernest Nuamah|XI|Lyon
lyon-v-fenerbahce|Noah Nartey|BENCH|Lyon
nk-celje-v-slovan-bratislava|Lukas Ceh|ABSENT|
nk-celje-v-slovan-bratislava|Mykola Kukharevych|ABSENT|
nk-celje-v-slovan-bratislava|Adam Griger|ABSENT|
nk-celje-v-slovan-bratislava|Armandas Kucys|BENCH|NK Celje
nk-celje-v-slovan-bratislava|Manasse Kianga|BENCH|Slovan Bratislava
nk-celje-v-slovan-bratislava|Roman Cerepkai|BENCH|Slovan Bratislava
nk-celje-v-slovan-bratislava|Andraz Sporar|XI|Slovan Bratislava
nk-celje-v-slovan-bratislava|Matej Poplatnik|BENCH|NK Celje
nk-celje-v-slovan-bratislava|Alassana Yirajang|ABSENT|
nk-celje-v-slovan-bratislava|Tigran Barseghyan|XI|Slovan Bratislava
nk-celje-v-slovan-bratislava|Svit Seslar|XI|NK Celje
nk-celje-v-slovan-bratislava|Kelvin Ofori|ABSENT|
nk-celje-v-slovan-bratislava|Nino Marcelli|BENCH|Slovan Bratislava
nk-celje-v-slovan-bratislava|Veton Tusha|BENCH|NK Celje
nk-celje-v-slovan-bratislava|Alexej Maros|BENCH|Slovan Bratislava
viking-v-dinamo-zagreb|Dion Beljo|XI|Dinamo Zagreb
viking-v-dinamo-zagreb|Aleks Stojakovic|ABSENT|
viking-v-dinamo-zagreb|Smail Prevljak|BENCH|Dinamo Zagreb
viking-v-dinamo-zagreb|Zlatko Tripic|XI|Viking FK
viking-v-dinamo-zagreb|Peter Christiansen|XI|Viking FK
viking-v-dinamo-zagreb|Romano Postema|BENCH|Viking FK
viking-v-dinamo-zagreb|Lovre Kulusic|ABSENT|
viking-v-dinamo-zagreb|Daniel Rodriguez|ABSENT|
viking-v-dinamo-zagreb|Mislav Orsic|BENCH|Dinamo Zagreb
viking-v-dinamo-zagreb|Robert Mudrazija|BENCH|Dinamo Zagreb
viking-v-dinamo-zagreb|Noah Nsoki|ABSENT|
viking-v-dinamo-zagreb|Fran Topic|BENCH|Dinamo Zagreb
viking-v-dinamo-zagreb|Edvin Austbo|XI|Viking FK
viking-v-dinamo-zagreb|Simen Kvia-Egeskog|BENCH|Viking FK
viking-v-dinamo-zagreb|Arber Hoxha|XI|Dinamo Zagreb
