atletico-madrid-v-osasuna|Alexander Sorloth|11/10
atletico-madrid-v-osasuna|Carlos Martin|13/10
atletico-madrid-v-osasuna|Jonathan David|13/10
atletico-madrid-v-osasuna|Julian Alvarez|11/8
atletico-madrid-v-osasuna|Ademola Lookman|13/8
atletico-madrid-v-osasuna|Arnau Ortiz|9/5
atletico-madrid-v-osasuna|Miguel Cubo|15/8
atletico-madrid-v-osasuna|Kang-In Lee|2/1
atletico-madrid-v-osasuna|Alex Baena|9/4
atletico-madrid-v-osasuna|Ante Budimir|3/1
atletico-madrid-v-osasuna|Giuliano Simeone|3/1
atletico-madrid-v-osasuna|Raul Garcia|4/1
atletico-madrid-v-osasuna|Jorge Castillo|9/2
atletico-madrid-v-osasuna|Rodrigo Mendoza|9/2
atletico-madrid-v-osasuna|Pablo Barrios|5/1
deportivo-v-sevilla|Pierre-Emerick Aubameyang|9/5
deportivo-v-sevilla|Robbie Ure|23/10
deportivo-v-sevilla|Lucas Stassin|5/2
deportivo-v-sevilla|Zakaria Eddahchouri|13/5
deportivo-v-sevilla|Bil Nsongo|27/10
deportivo-v-sevilla|Isaac Romero|3/1
deportivo-v-sevilla|Mohammed Bouldini|3/1
deportivo-v-sevilla|Jairo Noriega|10/3
deportivo-v-sevilla|Ibrahima Sow|10/3
deportivo-v-sevilla|Yeremay Hernandez|7/2
deportivo-v-sevilla|Kevin Sanchez|7/2
deportivo-v-sevilla|Alfonso Gonzalez|15/4
deportivo-v-sevilla|Jonathan Asp-Jensen|4/1
deportivo-v-sevilla|Joan Jordan|4/1
deportivo-v-sevilla|Chidera Ejuke|9/2
barcelona-v-racing-santander|Raphinha|8/15
barcelona-v-racing-santander|Gabriel Jesus|8/13
barcelona-v-racing-santander|Lamine Yamal|4/6
barcelona-v-racing-santander|Karim Adeyemi|20/23
barcelona-v-racing-santander|Hamza Abdelkarim|10/11
barcelona-v-racing-santander|Roony Bardghji|1/1
barcelona-v-racing-santander|Anthony Gordon|21/20
barcelona-v-racing-santander|Fermin Lopez|23/20
barcelona-v-racing-santander|Dani Olmo|7/5
barcelona-v-racing-santander|Brian Farinas|6/4
barcelona-v-racing-santander|Frenkie de Jong|14/5
barcelona-v-racing-santander|Jordi Pesquer|15/4
barcelona-v-racing-santander|Marc Bernal|15/4
barcelona-v-racing-santander|Pedri|19/5
barcelona-v-racing-santander|Rodri|4/1
levante-v-athletic-club|Gorka Guruzeta|13/8
levante-v-athletic-club|Inaki Williams|21/10
levante-v-athletic-club|Maroan Sannadi|9/4
levante-v-athletic-club|Ivan Romero|5/2
levante-v-athletic-club|Robert Navarro|11/4
levante-v-athletic-club|Oihan Sancet|11/4
levante-v-athletic-club|Nico Williams|11/4
levante-v-athletic-club|Petar Ratkov|14/5
levante-v-athletic-club|Yanis Musuayi|3/1
levante-v-athletic-club|Alvaro Djalo|10/3
levante-v-athletic-club|Nico Serrano|10/3
levante-v-athletic-club|Roger Brugue|7/2
levante-v-athletic-club|Alex Berenguer|15/4
levante-v-athletic-club|Carlos Alvarez|4/1
