real-sociedad-v-celta-vigo|Orri Steinn Oskarsson|29/20
real-sociedad-v-celta-vigo|Mikel Oyarzabal|6/4
real-sociedad-v-celta-vigo|Broja Iglesias|8/5
real-sociedad-v-celta-vigo|Gorka Carrera|23/10
real-sociedad-v-celta-vigo|Goncalo Guedes|5/2
real-sociedad-v-celta-vigo|Job Ochieng|3/1
real-sociedad-v-celta-vigo|Ferran Jutgla|3/1
real-sociedad-v-celta-vigo|Luka Sucic|10/3
real-sociedad-v-celta-vigo|Carles Perez|7/2
real-sociedad-v-celta-vigo|Pablo Duran|7/2
real-sociedad-v-celta-vigo|Arsen Zakharyan|15/4
real-sociedad-v-celta-vigo|Iago Aspas|19/5
real-sociedad-v-celta-vigo|Mikel Goti|4/1
real-sociedad-v-celta-vigo|Williot Swedberg|17/4
real-sociedad-v-celta-vigo|Alex Marchal|9/2
toulouse-v-lille|Hamza Igamane|11/8
toulouse-v-lille|Mohamed Bayo|6/4
toulouse-v-lille|Olivier Giroud|17/10
toulouse-v-lille|Ayase Ueda|7/4
toulouse-v-lille|Noah Edjouma|23/10
toulouse-v-lille|Felix Correia|12/5
toulouse-v-lille|Gaetan Perrin|5/2
toulouse-v-lille|Soriba Diaoune|5/2
toulouse-v-lille|Hakon Arnar Haraldsson|5/2
toulouse-v-lille|Santiago Hidalgo|3/1
toulouse-v-lille|Fontoura Tiago Morais|100/30
toulouse-v-lille|Jacen Russell-Rowe|10/3
toulouse-v-lille|Basar Onal|7/2
toulouse-v-lille|Yann Gboho|18/5
toulouse-v-lille|Casper Tengstedt|18/5
