SF-at-LA|Christian McCaffrey|-145
SF-at-LA|Kyren Williams|-125
SF-at-LA|Puka Nacua|+125
SF-at-LA|Davante Adams|+130
SF-at-LA|Blake Corum|+170
SF-at-LA|Mike Evans|+220
SF-at-LA|George Kittle|+280
SF-at-LA|Deebo Samuel|+380
SF-at-LA|DeZhaun Stribling|+390
SF-at-LA|Terrance Ferguson|+450
SF-at-LA|Colby Parkinson|+525
SF-at-LA|Tyler Higbee|+550
SF-at-LA|Brock Purdy|+600
SF-at-LA|Jake Tonges|+850
SF-at-LA|Demarcus Robinson|+950
SF-at-LA|Kaelon Black|+1000
SF-at-LA|Kyle Juszczyk|+1100
SF-at-LA|Jordan Whittington|+1100
SF-at-LA|Davis Allen|+1400
SF-at-LA|Konata Mumpfield|+1600
SF-at-LA|Xavier Smith|+1600
SF-at-LA|Jordan James|+1700
SF-at-LA|Tutu Atwell|+1900
SF-at-LA|Max Klare|+2000
SF-at-LA|Luke Farrell|+2000
