season,book,rule,tickets,staked,net,roi,ci_lo,ci_hi,singles_roi,singles_hit,moon_roi,moon_cash,median_leg,pct_legs_over500
2024,weak,old_rawEV_nocap,414,558.0,1562.1,2.7994525089605733,1.9077807276039613,3.79769885120948,0.9740740740740741,0.3925925925925926,4.510744791666666,0.3263888888888889,430,0.36752136752136755
2024,weak,mkt50_nocap,420,564.0,184.4,0.3268978280141844,0.15064502667157564,0.5011439174129934,0.1983695652173913,0.4311594202898551,0.45007074652777784,0.3472222222222222,165,0.0
2024,weak,new_w50_nocap,408,552.0,911.5,1.6513152173913044,0.5989437290718359,3.2368930163380365,0.6893939393939394,0.2765151515151515,2.533076388888889,0.2152777777777778,550,0.5689655172413793
2024,weak,new_w50_cap800,411,555.0,639.4,1.1521549549549548,0.6721713742082525,1.7316779222381298,0.6131086142322097,0.299625468164794,1.6518958333333333,0.24305555555555555,490,0.463519313304721
2024,weak,new_w50_cap500,387,531.0,537.2,1.0116864406779662,0.5860406526689882,1.479860220697636,0.45370370370370366,0.3333333333333333,1.482484375,0.2847222222222222,370,0.0
2024,weak,new_w50_cap400,367,511.0,696.2,1.3623679060665361,0.6693442250279017,2.127273876363234,0.40044843049327355,0.34977578475336324,2.1071875,0.3541666666666667,310,0.0
2024,weak,new_w50_cap300,330,474.0,362.0,0.7637799314345992,0.4534748795755578,1.1144219296276345,0.44381720430107535,0.41397849462365593,0.9704225260416666,0.3194444444444444,240,0.0
2024,weak,new_w100_cap500,382,526.0,565.5,1.075134980988593,0.5503343874675005,1.6292427646699958,0.526470588235294,0.3487394957983193,1.528545138888889,0.3125,380,0.0
2024,weak,new_w0_cap500,391,527.0,25.2,0.0478358633776092,-0.16747554119906002,0.35858472734870117,0.04019607843137256,0.27058823529411763,0.0549981617647059,0.21323529411764705,310,0.0
2024,same,old_rawEV_nocap,388,532.0,-149.1,-0.2803007518796993,-0.5804807493300987,0.048508846554142525,-0.13811475409836063,0.11475409836065574,-0.40076388888888886,0.04861111111111111,740,0.9437869822485208
2024,same,mkt50_nocap,401,545.0,-81.7,-0.14985057339449537,-0.34293694019709153,0.05352177650780568,-0.17762645914396888,0.33073929961089493,-0.125064453125,0.2708333333333333,135,0.0
2024,same,new_w50_nocap,405,549.0,-135.6,-0.24699453551912562,-0.5575773004256362,0.16998140659769145,-0.06072796934865898,0.12260536398467432,-0.41579861111111116,0.04861111111111111,690,0.8427128427128427
2024,same,new_w50_cap800,407,551.0,-43.1,-0.07813974591651542,-0.32844977469981307,0.2220755847447862,-0.06444866920152091,0.13688212927756654,-0.09064236111111114,0.0763888888888889,610,0.7798561151079136
2024,same,new_w50_cap500,385,529.0,-47.5,-0.08984640831758031,-0.3426834256959632,0.15854677754677748,0.0004149377593361055,0.21161825726141079,-0.16537760416666666,0.1597222222222222,400,0.0
2024,same,new_w50_cap400,367,511.0,16.7,0.03270939334637961,-0.3478229597329888,0.4415847884935199,-0.09170403587443945,0.2242152466367713,0.12904340277777773,0.1527777777777778,330,0.0
2024,same,new_w50_cap300,331,475.0,-97.7,-0.20576184210526313,-0.41759232168025767,0.052066233216245296,-0.06791443850267379,0.2727272727272727,-0.29526692708333335,0.2152777777777778,245,0.0
2024,same,new_w100_cap500,376,520.0,94.3,0.18127884615384612,-0.20805566689408153,0.6293151856577073,0.018318965517241395,0.19827586206896552,0.3125520833333333,0.1388888888888889,440,0.0
2024,same,new_w0_cap500,382,510.0,-22.4,-0.04401642156862745,-0.32957586472929173,0.29009122080039423,-0.2110236220472441,0.2283464566929134,0.12168603515625,0.2109375,270,0.0
2024,rich,old_rawEV_nocap,399,543.0,282.8,0.5208683241252303,-0.4872258267195766,1.7123936578914332,-0.1462745098039216,0.11372549019607843,1.1115677083333335,0.04861111111111111,740,0.7874818049490538
2024,rich,mkt50_nocap,408,552.0,-92.4,-0.167421875,-0.3293389728047182,0.0008807661083355628,-0.047159090909090914,0.3712121212121212,-0.2776627604166666,0.2847222222222222,140,0.0
2024,rich,new_w50_nocap,400,544.0,103.9,0.19095588235294128,-0.41286642162615744,0.9598532431405074,0.012890624999999996,0.14453125,0.3492361111111113,0.08333333333333333,690,0.7412790697674418
2024,rich,new_w50_cap800,396,540.0,-10.6,-0.019722222222222207,-0.33490877878255737,0.36003618730776443,-0.11607142857142859,0.1626984126984127,0.06458333333333337,0.125,540,0.564327485380117
2024,rich,new_w50_cap500,364,508.0,186.3,0.3667992125984252,-0.09705670129024621,0.8851608062059775,0.08545454545454546,0.24545454545454545,0.5817152777777779,0.1527777777777778,360,0.0
2024,rich,new_w50_cap400,349,493.0,19.2,0.039006592292089276,-0.22071179387755102,0.3194978707414829,0.028536585365853642,0.2682926829268293,0.04645920138888891,0.2361111111111111,290,0.0
2024,rich,new_w50_cap300,336,480.0,-111.6,-0.23250260416666665,-0.40665145980913026,-0.040223325581981544,-0.06901041666666666,0.2916666666666667,-0.34149739583333333,0.2152777777777778,230,0.0
2024,rich,new_w100_cap500,367,511.0,203.7,0.3986917808219178,-0.10059515407055712,0.9542499949111009,0.05896860986547084,0.2242152466367713,0.6617413194444445,0.1736111111111111,390,0.0
2024,rich,new_w0_cap500,355,467.0,57.6,0.1232719486081371,-0.22718120323900579,0.5114005195366712,-0.019341563786008212,0.2880658436213992,0.2779821428571429,0.19642857142857142,270,0.0
2024,sharp,old_rawEV_nocap,395,539.0,-356.5,-0.6614192949907236,-0.8488188004956974,-0.4164659915957596,-0.6462151394422311,0.03187250996015936,-0.6746701388888889,0.027777777777777776,990,0.8799414348462665
2024,sharp,mkt50_nocap,391,535.0,-152.3,-0.284643691588785,-0.40181233381107,-0.16078668270566981,-0.16659919028340078,0.3319838056680162,-0.3858832465277778,0.2638888888888889,150,0.0
2024,sharp,new_w50_nocap,396,540.0,-378.3,-0.7005740740740742,-0.8222063309194646,-0.5580196761457683,-0.5533730158730158,0.06746031746031746,-0.8293750000000001,0.027777777777777776,850,0.7953216374269005
2024,sharp,new_w50_cap800,376,520.0,-246.6,-0.4742307692307693,-0.6457339607540801,-0.2611563588850174,-0.3769396551724138,0.11637931034482758,-0.5526041666666666,0.0625,530,0.5481927710843374
2024,sharp,new_w50_cap500,369,513.0,-260.2,-0.5071978557504874,-0.6437214412245639,-0.36548059771293495,-0.3446666666666667,0.15555555555555556,-0.6341753472222221,0.09027777777777778,340,0.0
2024,sharp,new_w50_cap400,353,497.0,-264.6,-0.5323460764587525,-0.6839307692307692,-0.3677546970746971,-0.3940191387559808,0.16267942583732056,-0.6327291666666668,0.09722222222222222,285,0.0
2024,sharp,new_w50_cap300,328,472.0,-165.9,-0.35146292372881355,-0.5593309781146578,-0.10910188333704135,-0.2880434782608696,0.23369565217391305,-0.3919809027777778,0.1597222222222222,225,0.0
2024,sharp,new_w100_cap500,361,505.0,-303.1,-0.600210396039604,-0.7068179560499745,-0.4845844766260163,-0.42857142857142855,0.1336405529953917,-0.7295355902777777,0.05555555555555555,370,0.0
2024,sharp,new_w0_cap500,350,462.0,6.7,0.014531926406926417,-0.2613494164907342,0.32088454675231975,0.029621848739495808,0.29411764705882354,-0.0015011160714286098,0.19642857142857142,265,0.0
2025,weak,old_rawEV_nocap,411,555.0,743.9,1.3403143018018018,0.5914847724427061,2.177159839500316,0.547191011235955,0.299625468164794,2.0756056857638887,0.25,410,0.3562231759656652
