coventry-city-v-brighton-hove-albion|Promise David|13/8
coventry-city-v-brighton-hove-albion|Charalampos Kostoulas|19/10
coventry-city-v-brighton-hove-albion|Taiwo Awoniyi|12/5
coventry-city-v-brighton-hove-albion|Shane Nti|5/2
coventry-city-v-brighton-hove-albion|Ellis Simms|5/2
coventry-city-v-brighton-hove-albion|Sidiki Cherif|13/5
coventry-city-v-brighton-hove-albion|Georginio Rutter|13/5
coventry-city-v-brighton-hove-albion|Diego Gomez|3/1
coventry-city-v-brighton-hove-albion|Zadok Yohanna|3/1
coventry-city-v-brighton-hove-albion|Ibrahim Osman|10/3
coventry-city-v-brighton-hove-albion|Brandon Thoms-Asante|10/3
coventry-city-v-brighton-hove-albion|Nehemiah Oriola|7/2
coventry-city-v-brighton-hove-albion|Matt ORiley|7/2
coventry-city-v-brighton-hove-albion|Ephron Mason-Clark|4/1
coventry-city-v-brighton-hove-albion|Yann Gboho|23/5
manchester-united-v-manchester-city|Erling Haaland|1/1
manchester-united-v-manchester-city|Benjamin Sesko|19/10
manchester-united-v-manchester-city|Bryan Mbeumo|27/10
manchester-united-v-manchester-city|Santos Matheus Cunha|11/4
manchester-united-v-manchester-city|Antoine Semenyo|14/5
manchester-united-v-manchester-city|Joshua Zirkzee|11/4
manchester-united-v-manchester-city|Bruno Fernandes|3/1
manchester-united-v-manchester-city|Allan Andrade|3/1
manchester-united-v-manchester-city|Iliman-Cheikh Ndiaye|16/5
manchester-united-v-manchester-city|Phil Foden|17/5
manchester-united-v-manchester-city|Marcus Rashford|7/2
manchester-united-v-manchester-city|Ryan McAidoo|7/2
manchester-united-v-manchester-city|Shea Lacey|4/1
manchester-united-v-manchester-city|Rayan Cherki|4/1
manchester-united-v-manchester-city|Patrick Dorgu|17/4
rb-leipzig-v-hamburg-sv|Christopher Nkunku|21/20
rb-leipzig-v-hamburg-sv|Romulo da Cruz|11/10
rb-leipzig-v-hamburg-sv|Marc Guiu|11/10
rb-leipzig-v-hamburg-sv|Samba Konate|6/4
rb-leipzig-v-hamburg-sv|Brajan Gruda|9/5
rb-leipzig-v-hamburg-sv|Tidiam Gomis|15/8
rb-leipzig-v-hamburg-sv|Antonio Nusa|19/10
rb-leipzig-v-hamburg-sv|Johan Bakayoko|2/1
rb-leipzig-v-hamburg-sv|Rocco Reitz|11/4
rb-leipzig-v-hamburg-sv|Andrija Maksimovic|11/4
rb-leipzig-v-hamburg-sv|Assan Ouedraogo|14/5
rb-leipzig-v-hamburg-sv|Terem Moffi|3/1
rb-leipzig-v-hamburg-sv|Patson Daka|10/3
rb-leipzig-v-hamburg-sv|Neil El Aynaoui|4/1
rb-leipzig-v-hamburg-sv|Ezechiel Banzuzi|4/1
sv-elversberg-v-bayern-munich|Harry Kane|4/9
sv-elversberg-v-bayern-munich|Ismael Saibari|1/1
sv-elversberg-v-bayern-munich|Luis Diaz|1/1
sv-elversberg-v-bayern-munich|Michael Olise|11/10
sv-elversberg-v-bayern-munich|Jamal Musiala|23/20
sv-elversberg-v-bayern-munich|Lennart Karl|6/4
sv-elversberg-v-bayern-munich|Nathaniel Brown|2/1
sv-elversberg-v-bayern-munich|Bara Ndiaye|9/4
sv-elversberg-v-bayern-munich|Noel Futkeu|10/3
sv-elversberg-v-bayern-munich|David Mokwa|7/2
sv-elversberg-v-bayern-munich|Tom Bischof|18/5
sv-elversberg-v-bayern-munich|Luca Pfeiffer|4/1
sv-elversberg-v-bayern-munich|Luca Schnellbacher|4/1
sv-elversberg-v-bayern-munich|Tom Zimmerschied|9/2
sv-elversberg-v-bayern-munich|Francis-Ikechukwu Onyeka|9/2
lecce-v-monza|Milos Jovic|2/1
lecce-v-monza|Gustavo Varela|11/5
lecce-v-monza|Nikola Stulic|13/5
lecce-v-monza|Willem Geubbels|11/4
lecce-v-monza|Lameck Banda|3/1
lecce-v-monza|Dany Mota|3/1
lecce-v-monza|Patrick Cutrone|10/3
lecce-v-monza|Omri Gandelman|10/3
lecce-v-monza|Francisco Paco Esteban|7/2
lecce-v-monza|Keita Balde|15/4
lecce-v-monza|Joel Monteiro|4/1
lecce-v-monza|Santiago Pierotti|4/1
lecce-v-monza|Konan NDri|4/1
lecce-v-monza|Cyril Ngonge|9/2
lecce-v-monza|Omari Forson|9/2
napoli-v-bologna|Rasmus Hojlund|9/5
napoli-v-bologna|Lorenzo Lucca|23/10
napoli-v-bologna|Giovane Nascimento|12/5
napoli-v-bologna|David Neres|3/1
