real-betis-v-real-madrid|Kylian Mbappe|4/7
real-betis-v-real-madrid|Carlos Espi|21/20
real-betis-v-real-madrid|Jose Vinicius Junior|13/10
real-betis-v-real-madrid|Endrick|6/4
real-betis-v-real-madrid|de Goes Rodrygo|31/20
real-betis-v-real-madrid|Yan Diomande|2/1
real-betis-v-real-madrid|Alexis Ciria|21/10
real-betis-v-real-madrid|Troy Parrott|12/5
real-betis-v-real-madrid|Jude Bellingham|5/2
real-betis-v-real-madrid|Cucho Hernandez|13/5
real-betis-v-real-madrid|Arda Guler|16/5
real-betis-v-real-madrid|Pablo Garcia|16/5
real-betis-v-real-madrid|Gonzalo Petit|10/3
real-betis-v-real-madrid|Antony|7/2
real-betis-v-real-madrid|Abdessamad Ezzalzouli|4/1
ipswich-town-v-liverpool|Alexander Isak|23/20
ipswich-town-v-liverpool|Bradley Barcola|7/4
ipswich-town-v-liverpool|Cody Gakpo|15/8
ipswich-town-v-liverpool|Lewis Koumas|2/1
ipswich-town-v-liverpool|Federico Chiesa|11/5
ipswich-town-v-liverpool|Victor Munoz|23/10
ipswich-town-v-liverpool|Florian Wirtz|5/2
ipswich-town-v-liverpool|Zian Flemming|13/5
ipswich-town-v-liverpool|Anis Mehmeti|13/5
ipswich-town-v-liverpool|Rio Ngumoha|13/5
ipswich-town-v-liverpool|Dominik Szoboszlai|3/1
ipswich-town-v-liverpool|Jaden Philogene-Bidace|10/3
ipswich-town-v-liverpool|Chuba Akpom|10/3
ipswich-town-v-liverpool|Emersonn Silva|10/3
ipswich-town-v-liverpool|Jack Clarke|10/3
paris-saint-germain-v-as-monaco|Ousmane Dembele|9/10
paris-saint-germain-v-as-monaco|Khvicha Kvaratskhelia|6/5
paris-saint-germain-v-as-monaco|Ferran Torres|6/5
paris-saint-germain-v-as-monaco|Bradley Barcola|6/5
paris-saint-germain-v-as-monaco|Desire Doue|13/10
paris-saint-germain-v-as-monaco|Ibrahim Mbaye|31/20
paris-saint-germain-v-as-monaco|Mika Godts|31/20
paris-saint-germain-v-as-monaco|Quentin Ndjantou|15/8
paris-saint-germain-v-as-monaco|Maghnes Akliouche|15/8
paris-saint-germain-v-as-monaco|Senny Mayulu|9/4
paris-saint-germain-v-as-monaco|Dro Fernandez|5/2
paris-saint-germain-v-as-monaco|Folarin Balogun|13/5
paris-saint-germain-v-as-monaco|Oumar Konate|16/5
paris-saint-germain-v-as-monaco|Mika Biereth|10/3
paris-saint-germain-v-as-monaco|Matthis Abline|7/2
vfb-stuttgart-v-fc-cologne|Deniz Undav|1/1
vfb-stuttgart-v-fc-cologne|Ermedin Demirovic|23/20
vfb-stuttgart-v-fc-cologne|Dzenan Pejcinovic|13/10
vfb-stuttgart-v-fc-cologne|Lazar Jovanovic|11/8
vfb-stuttgart-v-fc-cologne|Tiago Tomas|6/4
vfb-stuttgart-v-fc-cologne|Justin Diehl|31/20
vfb-stuttgart-v-fc-cologne|Jeremy Arevalo|7/4
vfb-stuttgart-v-fc-cologne|Leo Sauer|21/10
vfb-stuttgart-v-fc-cologne|Jarzinho Malanga|21/10
vfb-stuttgart-v-fc-cologne|Bilal El Khannouss|23/10
vfb-stuttgart-v-fc-cologne|Chema Andres|12/5
vfb-stuttgart-v-fc-cologne|Chris Fuhrich|5/2
vfb-stuttgart-v-fc-cologne|Jamie Leweling|5/2
vfb-stuttgart-v-fc-cologne|Ragnar Ache|5/2
vfb-stuttgart-v-fc-cologne|Said El Mala|5/2
genoa-v-como|Moise Kean|17/10
genoa-v-como|Anastasios Douvikas|15/8
genoa-v-como|Nicolas Kuhn|9/4
genoa-v-como|Jayden Addai|14/5
genoa-v-como|Nicolas Paz|14/5
genoa-v-como|Assane Diao|10/3
genoa-v-como|Joi Nuredini|7/2
genoa-v-como|Adam Zulevic|7/2
genoa-v-como|Elias Havel|15/4
genoa-v-como|Riccardo Cassano|4/1
genoa-v-como|Lorenzo Colombo|4/1
genoa-v-como|Milutin Osmajic|4/1
genoa-v-como|Mattia Liberali|17/4
genoa-v-como|Jesus Rodriguez|17/4
genoa-v-como|Martin Baturina|23/5
lyon-v-aj-auxerre|Lois Openda|11/8
lyon-v-aj-auxerre|Alejandro Gomes|6/4
lyon-v-aj-auxerre|Remi Himbert|15/8
lyon-v-aj-auxerre|Malick Fofana|15/8
lyon-v-aj-auxerre|Corentin Tolisso|21/10
lyon-v-aj-auxerre|Pavel Sulc|9/4
lyon-v-aj-auxerre|Kail Boudache|9/4
lyon-v-aj-auxerre|Ernest Nuamah|5/2
lyon-v-aj-auxerre|Noah Nartey|11/4
lyon-v-aj-auxerre|Theo Bair|14/5
lyon-v-aj-auxerre|Julien Duranville|29/10
lyon-v-aj-auxerre|Ryan Rodin|3/1
lyon-v-aj-auxerre|Khalis Merah|10/3
lyon-v-aj-auxerre|Cameron Archer|7/2
lyon-v-aj-auxerre|Abner Vinicius|15/4
